Tahun,Kabupaten/Kota,WPP,Volume Produksi (Ton),Nilai Produksi (Rp 000),Provinsi,Kelompok,Jenis Ikan;
2023,BENGKALIS,WPP-RI-571,51.70,878934,RIAU,PARI,PARI LEMER;
2023,BENGKALIS,WPP-RI-571,27.18,733968,RIAU,REMANG,REMANG;
2023,BENGKALIS,WPP-RI-571,44.37,976074,RIAU,SELAR,SELAR BATANG;
2023,BENGKALIS,WPP-RI-571,1.52,37950,RIAU,SELAR,SELAR KUNING;
2023,BENGKALIS,WPP-RI-571,3.81,152240,RIAU,SELAR,TETENGKEK;
2023,BENGKALIS,WPP-RI-571,39.60,910800,RIAU,SEMBILANG,SEMBILANG;
2023,BENGKALIS,WPP-RI-571,2.20,87880,RIAU,SOTONG,SOTONG;
2023,BENGKALIS,WPP-RI-571,28.83,432435,RIAU,TALANG-TALANG,TALANG-TALANG;
2023,BENGKALIS,WPP-RI-571,342.46,13698480,RIAU,TENGGIRI,TENGGIRI;
2023,BENGKALIS,WPP-RI-571,95.86,4313655,RIAU,TENGGIRI,TENGGIRI PAPAN;
2023,BENGKALIS,WPP-RI-571,2.80,252000,RIAU,TERUBUK,TERUBUK;
2023,BENGKALIS,WPP-RI-571,42.54,2764775,RIAU,UDANG,UDANG GROGO;
2023,BENGKALIS,WPP-RI-571,32.78,819400,RIAU,UDANG,UDANG KROSOK KUNING;
2023,BENGKALIS,WPP-RI-571,161.12,6444880,RIAU,UDANG,UDANG PUTIH; UDANG API-API
2023,DELI SERDANG,WPP-RI-571,0.26,9240,SUMATERA UTARA,ALU-ALU,ALU-ALU BESAR; BARAKUDA BESAR
2023,DELI SERDANG,WPP-RI-571,26.46,1851850,SUMATERA UTARA,BAWAL,BAWAL HITAM;
2023,DELI SERDANG,WPP-RI-571,85.59,4311715,SUMATERA UTARA,BAWAL,BAWAL PUTIH;
2023,DELI SERDANG,WPP-RI-571,1310.88,7865662,SUMATERA UTARA,BELANAK,BELANAK;
2023,DELI SERDANG,WPP-RI-571,20.85,166832,SUMATERA UTARA,BIJI NANGKA,BIJI NANGKA KARANG;
2023,DELI SERDANG,WPP-RI-571,643.12,26511140,SUMATERA UTARA,CUMI-CUMI,CUMI-CUMI;
2023,DELI SERDANG,WPP-RI-571,5.91,88710,SUMATERA UTARA,GABUS,GABUS LAUT;
2023,DELI SERDANG,WPP-RI-571,27.55,275470,SUMATERA UTARA,GOLOK-GOLOK,GOLOK-GOLOK;
2023,DELI SERDANG,WPP-RI-571,1212.71,8677478,SUMATERA UTARA,GULAMAH,GULAMAH;
2023,DELI SERDANG,WPP-RI-571,706.27,18538260,SUMATERA UTARA,GURITA,GURITA;
2023,DELI SERDANG,WPP-RI-571,198.88,7955000,SUMATERA UTARA,KACI-KACI,KAKAP PUTIH;
2023,DELI SERDANG,WPP-RI-571,0.25,8680,SUMATERA UTARA,KAKAP,KAKAP HITAM;
2023,DELI SERDANG,WPP-RI-571,1.28,108800,SUMATERA UTARA,KAKAP,KAKAP JENAHA;
2023,DELI SERDANG,WPP-RI-571,242.47,13335740,SUMATERA UTARA,KAKAP,KAKAP MERAH;
2023,DELI SERDANG,WPP-RI-571,0.07,8160,SUMATERA UTARA,KAKAP,KAKAP MERAH BAKAU;
2023,DELI SERDANG,WPP-RI-571,254.16,10166240,SUMATERA UTARA,KAKAP,KAKAP PUTIH; BARAMUNDI
2023,DELI SERDANG,WPP-RI-571,526.80,17373710,SUMATERA UTARA,KEMBUNG,KEMBUNG;
2023,DELI SERDANG,WPP-RI-571,474.51,18989065,SUMATERA UTARA,KEPITING,KEPITING BAKAU;
2023,DELI SERDANG,WPP-RI-571,4388.08,43880800,SUMATERA UTARA,KERANG,KERANG DARAH;
2023,DELI SERDANG,WPP-RI-571,323.09,16394660,SUMATERA UTARA,KERAPU,KERAPU LUMPUR;
2023,DELI SERDANG,WPP-RI-571,8.52,383355,SUMATERA UTARA,KEROT-KEROT,GEROT-GEROT;
2023,DELI SERDANG,WPP-RI-571,421.19,6757795,SUMATERA UTARA,KURISI,KERISI;
2023,DELI SERDANG,WPP-RI-571,172.55,4696575,SUMATERA UTARA,KURO,KURO; SENANGIN
2023,DELI SERDANG,WPP-RI-571,1.64,90420,SUMATERA UTARA,KUWE,KUWE;
2023,DELI SERDANG,WPP-RI-571,150.01,3799285,SUMATERA UTARA,KUWE,KUWE GERONG;
2023,DELI SERDANG,WPP-RI-571,0.26,9135,SUMATERA UTARA,KUWE,KUWE LILIN;
2023,DELI SERDANG,WPP-RI-571,39.15,1174440,SUMATERA UTARA,LAYANG,LAYANG BIRU;
2023,DELI SERDANG,WPP-RI-571,11.15,167205,SUMATERA UTARA,LAYARAN,LAYARAN;
2023,DELI SERDANG,WPP-RI-571,149.43,2689794,SUMATERA UTARA,LEMADANG,LEMADANG;
2023,DELI SERDANG,WPP-RI-571,1195.03,24316606,SUMATERA UTARA,LEMURU,TEMBANG;
2023,DELI SERDANG,WPP-RI-571,905.54,15848373,SUMATERA UTARA,LIDAH,LIDAH;
2023,DELI SERDANG,WPP-RI-571,171.18,2595373,SUMATERA UTARA,MANYUNG,MANYUNG BESAR;
2023,DELI SERDANG,WPP-RI-571,78.65,629208,SUMATERA UTARA,MANYUNG,MANYUNG JAHAL;
2023,DELI SERDANG,WPP-RI-571,13.69,205380,SUMATERA UTARA,PARI,PARI BATIK;
2023,DELI SERDANG,WPP-RI-571,65.49,1309760,SUMATERA UTARA,PARI,PARI BURUNG;
2023,DELI SERDANG,WPP-RI-571,3.79,151560,SUMATERA UTARA,PARI,PARI DURI;
2023,DELI SERDANG,WPP-RI-571,369.39,18968460,SUMATERA UTARA,RAJUNGAN,RAJUNGAN;
2023,DELI SERDANG,WPP-RI-571,364.82,6579480,SUMATERA UTARA,SELAR,SELAR KUNING;
2023,DELI SERDANG,WPP-RI-571,309.31,5521880,SUMATERA UTARA,SELAR,TETENGKEK;
2023,DELI SERDANG,WPP-RI-571,272.39,6944720,SUMATERA UTARA,SEMBILANG,SEMBILANG BETUL;
2023,DELI SERDANG,WPP-RI-571,297.85,7063096,SUMATERA UTARA,SOTONG,SOTONG;
2023,DELI SERDANG,WPP-RI-571,0.26,6375,SUMATERA UTARA,TALANG-TALANG,TALANG-TALANG;
